t,angle,u
0.0,5.60025,-60.025
0.01,5.773124120090781,-17.256001249999997
0.02,5.907320588402972,-13.356856311689826
0.03,6.04094176487086,-13.268009333470323
0.04,6.177792131974377,-13.559703476787424
0.05,6.318322327404886,-13.896585078010622
0.06,6.462656494188528,-14.246035363778573
0.07,6.610888493535975,-14.605056693348144
0.08,6.7631109270091105,-14.973553460148757
0.09,6.919418020299372,-15.351718222986966
0.1,7.079905951221524,-15.739776097840245
0.11,7.244672929081572,-16.137959865759555
0.12,7.413819251163459,-16.546507655504026
0.13,7.587447358451227,-16.965662838142006
0.14,7.765661892782564,-17.395674141568605
0.15,7.948569755681269,-17.836795790130886
0.16,8.13628016892609,-18.289287650380373
0.17,8.328904736895351,-18.75341538117582
0.18,8.526557510725574,-19.229450588043214
0.19,8.729355054322765,-19.717670981866902
0.2,8.937416512265715,-20.21836054200258
0.21,9.150863679641319,-20.7318096839074
0.22,9.36982107385264,-21.25831543138335
0.23,9.5944160084412,-21.79818159353243
0.24,9.82477866896573,-22.351718946524155
0.25,10.061042190980372,-22.919245420277722
0.26,10.303342740156216,-23.50108629016304
0.27,10.551819594590796,-24.097574373827534
0.28,10.806615229351124,-24.709050233257006
0.29,11.0678754032967,-25.33586238218189
0.3,11.33574924822987,-25.978367498942013
0.31,11.61038936042187,-26.636930644925442
0.32,11.891951894563888,-27.311925488699842
0.33,12.180596660193498,-28.003734535956895
0.34,12.476487220647867,-28.712749365392984
0.35,12.779790994596276,-29.43937087065256
0.36,13.090679360205563,-30.184009508462758
0.37,13.409327761993314,-30.947085553091142
0.38,13.73591582042481,-31.72902935726125
0.39,14.07062744431099,-32.53028161966381
0.4,14.413650946065987,-33.35129365920457
0.41,14.765179159884086,-34.19252769613307
0.42,15.125409562897369,-35.0544571401997
0.43,15.494544399376682,-35.937566885992595
0.44,15.872790808040053,-36.8423536156084
0.45,16.260360952534164,-37.76932610881592
0.46,16.65747215515605,-38.71900556087422
0.47,17.064347033883795,-39.69192590817153
0.48,17.481213642786628,-40.68863416185502
0.49,17.90830561588654,-41.7096907496255
0.5,18.345862314545297,-42.755669865875554
0.51,18.794128978452495,-43.82715983035423
0.52,19.25335688029223,-44.9247634555453
0.53,19.723803484167778,-46.049098422951616
0.54,20.20573260786574,-47.20079766848167
0.55,20.699414589043105,-48.38050977714108
0.56,21.205126455422743,-49.58889938723503
0.57,21.723152099085073,-50.82664760429416
0.58,22.25378245494577,-52.09445242494117
0.59,22.79731568351175,-53.39302917092097
0.6,23.354057358009936,-54.723110933523316
0.61,23.924320655985795,-56.08544902863177
0.62,24.50842655547108,-57.48081346264017
0.63,25.10670403582274,-58.90999340948233
0.64,25.719490283337688,-60.37379769902856
0.65,26.347130901750653,-61.87305531710799
0.66,26.98998012772532,-63.40861591742285
0.67,27.64840105145164,-64.98135034562785
0.68,28.322765842465202,-66.59215117585424
0.69,29.01345598080761,-68.24193325996615
0.7,29.720862493649793,-69.93163428984344
0.71,30.44538619750349,-71.66221537299381
0.72,31.187437946149284,-73.43466162180383
0.73,31.94743888441306,-75.24998275674719
